City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sibolga,ID,1.7427,98.7792,76.19,90,100,5.1,overcast clouds
1,Bandarbeyla,SO,9.4942,50.8122,80.24,56,65,1.88,broken clouds
2,Lasa,IT,46.6166,10.7002,45.0,86,0,8.05,clear sky
3,Amapa,BR,1.0,-52.0,71.2,99,100,2.08,very heavy rain
4,Rikitea,PF,-23.1203,-134.9692,79.14,66,7,16.49,clear sky
5,Hays,US,30.0502,-98.0336,72.0,97,99,1.99,overcast clouds
6,Portland,US,45.5234,-122.6762,45.0,61,1,2.64,clear sky
7,Ushuaia,AR,-54.8,-68.3,41.0,70,0,8.05,clear sky
8,Punta Arenas,CL,-53.15,-70.9167,35.6,87,0,3.44,clear sky
9,Chuy,UY,-33.6971,-53.4616,60.55,79,0,6.87,very heavy rain
10,Karratha,AU,-20.7377,116.8463,95.09,20,0,16.33,clear sky
11,Itarema,BR,-2.9248,-39.9167,75.52,90,80,5.95,very heavy rain
12,Tura,IN,25.5198,90.2201,84.69,54,55,7.18,broken clouds
13,Mahebourg,MU,-20.4081,57.7,78.8,89,20,1.14,few clouds
14,Faanui,PF,-16.4833,-151.75,82.02,69,100,5.61,overcast clouds
15,Jamestown,US,42.097,-79.2353,57.2,41,1,14.97,clear sky
16,Tessalit,ML,20.1986,1.0114,69.6,9,74,12.77,broken clouds
17,Esperance,AU,-33.8667,121.9,80.6,57,9,10.36,clear sky
18,Andenes,NO,69.3143,16.1194,39.2,81,75,23.02,broken clouds
19,Fairbanks,US,64.8378,-147.7164,33.8,69,90,1.45,overcast clouds
20,Acapulco,MX,16.8634,-99.8901,78.48,63,19,4.32,few clouds
21,Banita,RO,45.45,23.2667,35.64,90,42,2.95,scattered clouds
22,Sens,FR,48.1667,3.3333,42.8,81,0,3.44,clear sky
23,Kaitangata,NZ,-46.2817,169.8464,59.0,67,64,11.99,broken clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,75.99,92,41,3.0,scattered clouds
25,Saint-Philippe,RE,-21.3585,55.7679,84.2,61,0,2.3,light rain
26,Agadez,NE,19.75,10.25,60.55,22,0,9.15,clear sky
27,Bilibino,RU,68.0546,166.4372,5.63,84,82,3.56,broken clouds
28,Muncar,ID,-8.4333,114.3333,84.15,75,69,5.7,broken clouds
29,Mataura,NZ,-46.1927,168.8643,59.0,70,69,11.01,broken clouds
30,Hasaki,JP,35.7333,140.8333,72.0,37,20,9.22,few clouds
31,Castro,BR,-24.7911,-50.0119,52.63,93,3,3.11,very heavy rain
32,Andros Town,BS,24.7,-77.7667,77.0,78,20,12.66,few clouds
33,Atuona,PF,-9.8,-139.0333,80.37,77,39,17.05,scattered clouds
34,Rio Gallegos,AR,-51.6226,-69.2181,35.6,80,0,4.61,clear sky
35,Ribeira Grande,PT,38.5167,-28.7,57.31,82,100,12.95,overcast clouds
36,Portadown,GB,54.4241,-6.4412,48.2,87,20,6.91,few clouds
37,Cherskiy,RU,68.75,161.3,11.57,83,52,6.55,broken clouds
38,Geraldton,AU,-28.7667,114.6,87.8,42,50,14.97,scattered clouds
39,Chokurdakh,RU,70.6333,147.9167,4.33,94,95,2.8,overcast clouds
40,Lodwar,KE,3.1191,35.5973,85.42,42,54,9.73,broken clouds
41,Vaini,TO,-21.2,-175.2,84.2,79,20,8.05,light rain
42,Chicama,PE,-7.8447,-79.1469,70.84,78,41,5.73,scattered clouds
43,Saint Anthony,US,45.0205,-93.218,30.2,55,20,17.27,few clouds
44,Dikson,RU,73.5069,80.5464,-17.07,91,7,3.83,clear sky
45,Busselton,AU,-33.65,115.3333,78.21,56,99,11.3,light rain
46,Bluff,NZ,-46.6,168.3333,59.0,70,34,11.01,scattered clouds
47,Saint Pete Beach,US,27.7253,-82.7412,77.0,78,90,8.05,overcast clouds
48,Souillac,MU,-20.5167,57.5167,78.8,89,20,1.14,few clouds
49,Airai,TL,-8.9266,125.4092,62.78,96,100,1.63,moderate rain
50,Kapaa,US,22.0752,-159.319,77.0,69,75,13.8,light rain
51,Lebu,CL,-37.6167,-73.65,55.08,94,18,12.82,very heavy rain
52,San Policarpo,PH,12.1791,125.5072,82.53,75,67,9.24,broken clouds
53,New Norfolk,AU,-42.7826,147.0587,73.99,51,70,5.03,broken clouds
54,Khatanga,RU,71.9667,102.5,-18.31,92,80,8.97,broken clouds
55,Arraial Do Cabo,BR,-22.9661,-42.0278,75.47,85,32,11.27,very heavy rain
56,Talnakh,RU,69.4865,88.3972,-11.56,87,12,3.11,few clouds
57,Somers,US,42.6403,-87.9104,46.4,36,75,16.11,broken clouds
58,Kodiak,US,57.79,-152.4072,37.4,60,90,16.11,overcast clouds
59,Hobart,AU,-42.8794,147.3294,73.99,43,0,6.91,clear sky
60,Paamiut,GL,61.994,-49.6678,28.63,96,100,15.48,snow
61,Namatanai,PG,-3.6667,152.4333,83.14,71,100,3.04,light rain
62,Alofi,NU,-19.0595,-169.9187,78.8,94,1,12.66,clear sky
63,Shimoda,JP,34.6667,138.95,68.0,56,20,13.8,few clouds
64,Hilo,US,19.7297,-155.09,73.4,73,90,4.61,moderate rain
65,Bonavista,CA,48.6499,-53.1147,25.0,73,100,5.75,overcast clouds
66,Eskisehir,TR,39.7767,30.5206,37.4,81,75,9.22,light rain
67,Batemans Bay,AU,-35.7167,150.1833,70.0,67,15,4.0,few clouds
68,Cape Town,ZA,-33.9258,18.4232,64.0,88,75,13.8,light rain
69,Ayr,GB,55.4627,-4.6339,44.6,87,20,5.75,few clouds
70,Ancud,CL,-41.8697,-73.8203,57.0,100,90,1.99,overcast clouds
71,Plettenberg Bay,ZA,-34.0527,23.3716,61.81,51,3,5.3,clear sky
72,Coahuayana,MX,18.7333,-103.6833,71.96,60,87,1.86,overcast clouds
73,Hermanus,ZA,-34.4187,19.2345,57.0,94,11,1.01,few clouds
74,Mnogovershinnyy,RU,53.9353,139.9242,29.14,82,100,4.54,overcast clouds
75,Hofn,IS,64.2539,-15.2082,34.21,58,0,12.5,clear sky
76,Wuxi,CN,31.5689,120.2886,63.0,73,100,3.0,overcast clouds
77,Necochea,AR,-38.5473,-58.7368,50.0,95,0,3.0,heavy intensity rain
78,Trelew,AR,-43.249,-65.3051,59.63,87,79,22.26,broken clouds
79,Novo Lino,BR,-8.915,-35.6467,75.2,94,0,4.61,very heavy rain
80,Sinesti,RO,47.1167,27.1833,39.99,81,0,5.75,light rain
81,Lac Du Bonnet,CA,50.2536,-96.0612,12.99,99,100,11.01,overcast clouds
82,Nenjiang,CN,49.1833,125.2167,49.82,37,0,6.78,clear sky
83,Pangnirtung,CA,66.1451,-65.7125,-21.37,99,100,1.21,overcast clouds
84,Biak,ID,-0.9131,122.8766,83.25,73,85,3.27,overcast clouds
85,Renigunta,IN,13.65,79.5167,93.2,43,20,5.61,haze
86,San Juan,AR,-31.5375,-68.5364,68.79,39,0,2.28,very heavy rain
87,Albany,US,42.6001,-73.9662,48.99,57,95,6.42,overcast clouds
88,Yellowknife,CA,62.456,-114.3525,6.8,61,75,9.22,broken clouds
89,Aras,ES,42.5617,-2.356,52.0,66,0,3.44,clear sky
